,rsi
2024-02-16 10:00:00,29.671984617465768
2024-02-16 09:55:00,17.316840410623414
2024-02-16 09:50:00,32.9778049872433
2024-02-16 09:45:00,48.18911738923839
2024-02-16 09:40:00,53.00350244806491
2024-02-16 09:35:00,60.12460866911561
2024-02-16 09:30:00,38.18549464460496
2024-02-15 10:00:00,47.27986179386175
2024-02-15 09:55:00,39.64527193373515
2024-02-15 09:50:00,37.954053630330705
2024-02-15 09:45:00,31.233131878947958
2024-02-15 09:40:00,22.85117167252119
2024-02-15 09:35:00,34.96166978682899
2024-02-15 09:30:00,80.30632914025753
2024-02-14 10:00:00,69.12196914198887
2024-02-14 09:55:00,64.07800466994513
2024-02-14 09:50:00,51.48875198910077
2024-02-14 09:45:00,63.515178009387256
2024-02-14 09:40:00,38.47562660494454
2024-02-14 09:35:00,53.75198207497339
2024-02-14 09:30:00,87.07142938163285
2024-02-13 10:00:00,51.56533339521976
2024-02-13 09:55:00,45.93052541569387
2024-02-13 09:50:00,56.59262905975501
2024-02-13 09:45:00,56.580265764518614
2024-02-13 09:40:00,58.175231922823144
2024-02-13 09:35:00,67.10628362930296
2024-02-13 09:30:00,23.72597761974214
2024-02-12 10:00:00,48.73173372293828
2024-02-12 09:55:00,43.61640177016467
2024-02-12 09:50:00,29.982226689166282
2024-02-12 09:45:00,44.00718500868963
2024-02-12 09:40:00,46.93175242590979
2024-02-12 09:35:00,82.16637594348018
2024-02-12 09:30:00,19.90905545947085
2024-02-09 10:00:00,60.00930955139211
2024-02-09 09:55:00,67.29482944382426
2024-02-09 09:50:00,72.41715212400744
2024-02-09 09:45:00,58.29528890052208
2024-02-09 09:40:00,39.30182202889934
2024-02-09 09:35:00,37.34657486661019
2024-02-09 09:30:00,26.77995189269089
2024-02-08 10:00:00,58.00170238475109
2024-02-08 09:55:00,53.49042768409213
2024-02-08 09:50:00,51.33235578831028
2024-02-08 09:45:00,39.55188148400034
2024-02-08 09:40:00,50.731741899922575
2024-02-08 09:35:00,88.02114877924605
2024-02-08 09:30:00,46.715438772593444
2024-02-07 10:00:00,60.89003071357814
2024-02-07 09:55:00,58.263925222259196
2024-02-07 09:50:00,76.55960517999324
2024-02-07 09:45:00,56.164081831527945
2024-02-07 09:40:00,30.70077643772541
2024-02-07 09:35:00,30.285525906189676
2024-02-07 09:30:00,45.14482251567647
2024-02-06 10:00:00,34.86819752819599
2024-02-06 09:55:00,38.24258427096734
2024-02-06 09:50:00,32.96945526302845
2024-02-06 09:45:00,23.51820872478517
2024-02-06 09:40:00,35.39430217522526
2024-02-06 09:35:00,4.023243459191903
2024-02-06 09:30:00,15.524783009473623
2024-02-05 10:00:00,61.21071757155142
2024-02-05 09:55:00,57.01464888892278
2024-02-05 09:50:00,46.15217696787345
2024-02-05 09:45:00,54.874831038403336
2024-02-05 09:40:00,59.551798427486986
2024-02-05 09:35:00,61.92394563072841
2024-02-05 09:30:00,14.862521198702126
2024-02-02 10:00:00,66.09419850260105
2024-02-02 09:55:00,71.01832676964742
2024-02-02 09:50:00,64.88798077630219
2024-02-02 09:45:00,84.74313973675531
2024-02-02 09:40:00,77.51501450052868
2024-02-02 09:35:00,72.01169775983193
2024-02-02 09:30:00,43.77897235027466
2024-02-01 10:00:00,32.02658194262932
2024-02-01 09:55:00,42.27687948267024
2024-02-01 09:50:00,35.1354231895573
2024-02-01 09:45:00,58.3626315104797
2024-02-01 09:40:00,48.24259424486361
2024-02-01 09:35:00,24.831508778609617
2024-02-01 09:30:00,36.87232696577282
2024-01-31 10:00:00,42.74531262090878
2024-01-31 09:55:00,51.560638477774795
2024-01-31 09:50:00,64.6222210212498
2024-01-31 09:45:00,53.27802797160609
2024-01-31 09:40:00,52.23014232451174
2024-01-31 09:35:00,63.184339879882884
2024-01-31 09:30:00,78.21143607782501
2024-01-30 10:00:00,40.46264560819463
2024-01-30 09:55:00,40.523498528883955
2024-01-30 09:50:00,41.97613317618552
2024-01-30 09:45:00,41.66914426843108
2024-01-30 09:40:00,52.73543327364117
2024-01-30 09:35:00,51.28189902905001
2024-01-30 09:30:00,31.19104281963307
2024-01-29 10:00:00,54.15632451067041
2024-01-29 09:55:00,57.54095044908652
2024-01-29 09:50:00,56.483020304844906
2024-01-29 09:45:00,58.61817624733425
2024-01-29 09:40:00,66.27792651998278
2024-01-29 09:35:00,46.487689383918024
2024-01-29 09:30:00,9.576802195506133
2024-01-26 10:00:00,54.81894578652292
2024-01-26 09:55:00,30.1051660264619
2024-01-26 09:50:00,42.11825213596438
2024-01-26 09:45:00,39.2070122751669
2024-01-26 09:40:00,49.31517001946688
2024-01-26 09:35:00,51.97079523581991
2024-01-26 09:30:00,52.936908130326614
2024-01-25 10:00:00,34.32233892509875
2024-01-25 09:55:00,39.603305893100114
2024-01-25 09:50:00,55.38113949044148
2024-01-25 09:45:00,34.537165383838456
2024-01-25 09:40:00,53.710486869925724
2024-01-25 09:35:00,46.355125435997124
2024-01-25 09:30:00,23.14005710709978
2024-01-24 10:00:00,84.12528193040248
2024-01-24 09:55:00,86.3500364184124
2024-01-24 09:50:00,86.22999289977315
2024-01-24 09:45:00,53.47246075170325
2024-01-24 09:40:00,44.15504934447505
2024-01-24 09:35:00,42.201928651268304
2024-01-24 09:30:00,30.642075200087746
2024-01-23 10:00:00,68.96710749481602
2024-01-23 09:55:00,61.044978587443595
2024-01-23 09:50:00,58.4204426825984
2024-01-23 09:45:00,45.98177432451172
2024-01-23 09:40:00,48.920472601494026
2024-01-23 09:35:00,15.88546187592307
2024-01-23 09:30:00,15.438623162123037
2024-01-22 10:00:00,42.41141999252293
2024-01-22 09:55:00,47.489723284469314
2024-01-22 09:50:00,57.54644782294588
2024-01-22 09:45:00,52.99032822920539
2024-01-22 09:40:00,42.05847675581155
2024-01-22 09:35:00,64.23443822761509
2024-01-22 09:30:00,25.577850295743303
2024-01-19 10:00:00,57.58505707287394
2024-01-19 09:55:00,45.364573581545955
2024-01-19 09:50:00,46.583941478642515
2024-01-19 09:45:00,51.41351495741762
2024-01-19 09:40:00,37.50889116865425
2024-01-19 09:35:00,46.01305129119281
2024-01-19 09:30:00,19.24962556096557
2024-01-18 10:00:00,44.95261921756544
2024-01-18 09:55:00,33.76837155803611
2024-01-18 09:50:00,36.06940550331688
2024-01-18 09:45:00,52.87359944983319
2024-01-18 09:40:00,54.477828608203815
2024-01-18 09:35:00,52.404871012689334
2024-01-18 09:30:00,44.08078630659609
2024-01-17 10:00:00,23.493931518238398
2024-01-17 09:55:00,33.49619436057398
2024-01-17 09:50:00,27.208178411685182
2024-01-17 09:45:00,30.74314479224104
2024-01-17 09:40:00,36.07638280994709
2024-01-17 09:35:00,20.157222360955856
2024-01-17 09:30:00,27.7958328708509
2024-01-16 10:00:00,48.451696799884786
2024-01-16 09:55:00,58.0713771030461
2024-01-16 09:50:00,62.80258291756437
2024-01-16 09:45:00,61.96296429984599
2024-01-16 09:40:00,66.27237344871853
2024-01-16 09:35:00,92.19027624869838
2024-01-16 09:30:00,71.9464315426217
2024-01-12 10:00:00,33.02837410483525
2024-01-12 09:55:00,57.1340112325429
2024-01-12 09:50:00,66.05147145679638
2024-01-12 09:45:00,55.799057843990575
2024-01-12 09:40:00,45.300373091231
2024-01-12 09:35:00,56.57469179662026
2024-01-12 09:30:00,30.416962564875107
2024-01-11 10:00:00,47.80527823939207
2024-01-11 09:55:00,51.8502529503306
2024-01-11 09:50:00,23.904390155358357
2024-01-11 09:45:00,19.2286401242157
2024-01-11 09:40:00,66.5061547056772
2024-01-11 09:35:00,78.34711235360837
2024-01-11 09:30:00,55.98809769463033
