,rsi
2024-02-16 10:00:00,34.069334544697625
2024-02-16 09:55:00,39.79482332932776
2024-02-16 09:50:00,43.371443636751124
2024-02-16 09:45:00,45.71328493847571
2024-02-16 09:40:00,48.808626077896726
2024-02-16 09:35:00,13.8331913102528
2024-02-16 09:30:00,14.37062809139563
2024-02-15 10:00:00,28.47575215770304
2024-02-15 09:55:00,31.40734953614647
2024-02-15 09:50:00,51.363247569792364
2024-02-15 09:45:00,30.668890012035064
2024-02-15 09:40:00,34.98473264024116
2024-02-15 09:35:00,63.16109550668342
2024-02-15 09:30:00,77.78803636941696
2024-02-14 10:00:00,68.59561218908891
2024-02-14 09:55:00,44.6324265582019
2024-02-14 09:50:00,64.88531833391238
2024-02-14 09:45:00,70.26631513007754
2024-02-14 09:40:00,38.56230880336235
2024-02-14 09:35:00,24.717239978084777
2024-02-14 09:30:00,22.370965451404615
2024-02-13 10:00:00,74.30086622022819
2024-02-13 09:55:00,61.424293387079686
2024-02-13 09:50:00,68.03687461732736
2024-02-13 09:45:00,62.5716051826429
2024-02-13 09:40:00,73.04771511951418
2024-02-13 09:35:00,53.45882769924992
2024-02-13 09:30:00,19.782762375535825
2024-02-12 10:00:00,48.107987796049684
2024-02-12 09:55:00,46.007791082746415
2024-02-12 09:50:00,52.63925550800633
2024-02-12 09:45:00,44.13073786575772
2024-02-12 09:40:00,58.20482082142226
2024-02-12 09:35:00,59.73699843628788
2024-02-12 09:30:00,29.304190745619223
2024-02-09 10:00:00,39.60859887591064
2024-02-09 09:55:00,39.45200470139346
2024-02-09 09:50:00,52.45676240477745
2024-02-09 09:45:00,47.65280443213825
2024-02-09 09:40:00,45.19757255592929
2024-02-09 09:35:00,43.449314608293385
2024-02-09 09:30:00,60.11443495966973
2024-02-08 10:00:00,46.421240873774224
2024-02-08 09:55:00,51.76012086005145
2024-02-08 09:50:00,66.5749755500211
2024-02-08 09:45:00,70.51012151554725
2024-02-08 09:40:00,63.38711291184371
2024-02-08 09:35:00,41.160233100646735
2024-02-08 09:30:00,29.509760323779503
2024-02-07 10:00:00,48.171682478027314
2024-02-07 09:55:00,34.50572264617195
2024-02-07 09:50:00,61.624882762735304
2024-02-07 09:45:00,52.414970087780596
2024-02-07 09:40:00,54.765817890374535
2024-02-07 09:35:00,54.97590455890587
2024-02-07 09:30:00,56.4168015392781
2024-02-06 10:00:00,32.573858229174775
2024-02-06 09:55:00,34.1689207917054
2024-02-06 09:50:00,39.49739828387108
2024-02-06 09:45:00,68.88184364983766
2024-02-06 09:40:00,47.357869497720195
2024-02-06 09:35:00,45.43344365068112
2024-02-06 09:30:00,83.04222188787146
2024-02-05 10:00:00,43.02566998539169
2024-02-05 09:55:00,48.60212592720125
2024-02-05 09:50:00,20.73715927005381
2024-02-05 09:45:00,42.074303657885785
2024-02-05 09:40:00,31.819767366944262
2024-02-05 09:35:00,21.032980708869175
2024-02-05 09:30:00,41.456657150901215
2024-02-02 10:00:00,67.28223415813851
2024-02-02 09:55:00,51.942141738256474
2024-02-02 09:50:00,42.919179579287324
2024-02-02 09:45:00,53.018310257834806
2024-02-02 09:40:00,68.46373938598974
2024-02-02 09:35:00,58.695542980125055
2024-02-02 09:30:00,69.76830876850502
2024-02-01 10:00:00,47.258055696767876
2024-02-01 09:55:00,51.29989204705926
2024-02-01 09:50:00,60.26111979944818
2024-02-01 09:45:00,69.2290405559724
2024-02-01 09:40:00,69.09939275072058
2024-02-01 09:35:00,68.41503524473626
2024-02-01 09:30:00,49.487616267095305
2024-01-31 10:00:00,54.96410951363418
2024-01-31 09:55:00,53.588709757593705
2024-01-31 09:50:00,53.14782226940057
2024-01-31 09:45:00,39.90747950116293
2024-01-31 09:40:00,43.504828558110916
2024-01-31 09:35:00,71.3896961035601
2024-01-31 09:30:00,63.46971681290659
2024-01-30 10:00:00,39.29571819357463
2024-01-30 09:55:00,50.88710001816832
2024-01-30 09:50:00,65.14101016472335
2024-01-30 09:45:00,66.696146946055
2024-01-30 09:40:00,50.10953059592296
2024-01-30 09:35:00,39.160313363941746
2024-01-30 09:30:00,25.694603423990117
2024-01-29 10:00:00,50.003790940934174
2024-01-29 09:55:00,52.504807360303644
2024-01-29 09:50:00,51.592114176871995
2024-01-29 09:45:00,42.810085467905004
2024-01-29 09:40:00,55.158781654189426
2024-01-29 09:35:00,26.188093058709143
2024-01-29 09:30:00,17.100718953592903
2024-01-26 10:00:00,45.54543331034108
2024-01-26 09:55:00,39.610220906739855
2024-01-26 09:50:00,47.776979901179715
2024-01-26 09:45:00,42.29438456862994
2024-01-26 09:40:00,45.09047682997563
2024-01-26 09:35:00,56.33802268315344
2024-01-26 09:30:00,69.66654293456119
2024-01-25 10:00:00,37.0036193325841
2024-01-25 09:55:00,48.810532926108564
2024-01-25 09:50:00,52.518793062369646
2024-01-25 09:45:00,50.45447890312001
2024-01-25 09:40:00,54.205656652181105
2024-01-25 09:35:00,36.19122977278364
2024-01-25 09:30:00,32.33557434031739
2024-01-24 10:00:00,32.42393069145852
2024-01-24 09:55:00,26.662240749964468
2024-01-24 09:50:00,29.456704135554872
2024-01-24 09:45:00,38.10960607822885
2024-01-24 09:40:00,57.05709785268886
2024-01-24 09:35:00,37.70238441165392
2024-01-24 09:30:00,83.18281840373677
2024-01-23 10:00:00,70.72249876566825
2024-01-23 09:55:00,69.88848845078317
2024-01-23 09:50:00,65.92160985050282
2024-01-23 09:45:00,36.54205761228337
2024-01-23 09:40:00,41.78856320761256
2024-01-23 09:35:00,11.365031242300432
2024-01-23 09:30:00,36.428659310881265
