,abs_change,max_diff
2023-01-03 04:00:00,1.0699999999999932,1.0699999999999932
2023-01-03 04:15:00,0.060000000000002274,0.06999999999999318
2023-01-03 04:30:00,0.03999999999999204,0.03999999999999204
2023-01-03 04:45:00,0.010000000000005116,0.04999999999999716
2023-01-03 05:00:00,0.21999999999999886,0.21999999999999886
2023-01-03 05:15:00,0.05000000000001137,0.10999999999999943
2023-01-03 05:45:00,0.0,0.0
2023-01-03 06:30:00,0.3100000000000023,0.3100000000000023
2023-01-03 06:45:00,0.18000000000000682,0.20000000000000284
2023-01-03 07:00:00,0.14000000000000057,0.14000000000000057
2023-01-03 07:15:00,0.11999999999999034,0.11999999999999034
2023-01-03 07:30:00,0.11999999999999034,0.11999999999999034
2023-01-03 07:45:00,0.04000000000000625,0.04000000000000625
2023-01-03 08:00:00,0.3118999999999943,0.7119
2023-01-03 08:15:00,0.06999999999999318,0.37000000000000455
2023-01-03 08:30:00,0.1326000000000107,0.1326000000000107
2023-01-03 08:45:00,0.07000000000000739,0.18999999999999773
2023-01-03 09:00:00,0.13000000000000966,0.18999999999999773
2023-01-03 09:15:00,0.05000000000001137,0.8100000000000023
2023-01-03 09:30:00,1.230000000000004,1.730000000000004
2023-01-03 09:45:00,1.019999999999996,1.2800000000000011
2023-01-03 10:00:00,0.7399999999999949,1.0300000000000011
2023-01-03 10:15:00,0.16500000000000625,0.375
2023-01-03 10:30:00,0.0899999999999892,0.5999999999999943
2023-01-03 10:45:00,0.39000000000000057,0.480000000000004
2023-01-03 11:00:00,0.5099999999999909,0.6524000000000001
2023-01-03 11:15:00,0.1799999999999926,0.2698000000000036
2023-01-03 11:30:00,0.2686999999999955,0.45999999999999375
2023-01-03 11:45:00,0.09000000000000341,0.20999999999999375
2023-01-03 12:00:00,0.10000000000000853,0.3500000000000085
2023-01-03 12:15:00,0.13500000000000512,0.2950000000000017
2023-01-03 12:30:00,0.04999999999999716,0.29000000000000625
2023-01-03 12:45:00,0.0049999999999954525,0.3149999999999977
2023-01-03 13:00:00,0.13989999999999725,0.22010000000000218
2023-01-03 13:15:00,0.23499999999999943,0.3499999999999943
2023-01-03 13:30:00,0.06999999999999318,0.19999999999998863
2023-01-03 13:45:00,0.0853000000000037,0.269999999999996
2023-01-03 14:00:00,0.1500999999999948,0.36999999999999034
2023-01-03 14:15:00,0.060000000000002274,0.21999999999999886
2023-01-03 14:30:00,0.04000000000000625,0.44999999999998863
2023-01-03 14:45:00,0.20000000000000284,0.37000000000000455
2023-01-03 15:00:00,0.1150999999999982,0.28000000000000114
2023-01-03 15:15:00,0.03999999999999204,0.35439999999999827
2023-01-03 15:30:00,0.20000000000000284,0.4000000000000057
2023-01-03 15:45:00,0.15000000000000568,0.4399999999999977
2023-01-03 16:00:00,0.0799999999999983,0.1599999999999966
2023-01-03 16:15:00,0.14000000000000057,0.1799999999999926
2023-01-03 16:30:00,0.02960000000000207,0.02960000000000207
2023-01-03 16:45:00,0.030000000000001137,0.14000000000000057
2023-01-03 17:00:00,0.004199999999997317,0.004199999999997317
2023-01-03 17:15:00,0.06999999999999318,0.06999999999999318
2023-01-03 17:45:00,0.0,0.0
2023-01-03 18:00:00,0.0,0.0
2023-01-03 18:30:00,0.0,0.0
2023-01-03 18:45:00,0.0,0.0
2023-01-03 19:00:00,0.0,0.0
2023-01-03 19:15:00,0.0,0.0
2023-01-03 19:30:00,0.05999999999998806,0.06999999999999318
2023-01-03 19:45:00,0.10999999999999943,0.15000000000000568
2023-01-04 04:00:00,0.39000000000000057,0.7000000000000028
2023-01-04 04:15:00,0.04999999999999716,0.04999999999999716
2023-01-04 04:30:00,0.3199999999999932,0.3199999999999932
2023-01-04 04:45:00,0.23000000000000398,0.269999999999996
2023-01-04 05:00:00,0.11999999999999034,0.21999999999999886
2023-01-04 05:30:00,0.45999999999999375,0.480000000000004
2023-01-04 05:45:00,0.06999999999999318,0.06999999999999318
2023-01-04 06:00:00,0.20000000000000284,0.20000000000000284
2023-01-04 06:15:00,0.030000000000001137,0.030000000000001137
2023-01-04 06:30:00,0.04999999999999716,0.04999999999999716
2023-01-04 06:45:00,0.12000000000000455,0.18999999999999773
2023-01-04 07:00:00,0.12999999999999545,0.3299999999999983
2023-01-04 07:15:00,0.14000000000000057,0.15000000000000568
2023-01-04 07:30:00,0.1599999999999966,0.1599999999999966
2023-01-04 07:45:00,0.010000000000005116,0.37000000000000455
2023-01-04 08:00:00,0.38989999999999725,0.769999999999996
2023-01-04 08:15:00,0.3400000000000034,0.46000000000000796
2023-01-04 08:30:00,0.07770000000000721,0.18999999999999773
2023-01-04 08:45:00,0.05999999999998806,0.3299999999999983
2023-01-04 09:00:00,0.3500000000000085,0.480000000000004
2023-01-04 09:15:00,0.3896000000000015,1.1299999999999955
2023-01-04 09:30:00,1.5600000000000023,1.8299999999999983
2023-01-04 09:45:00,0.4000000000000057,2.1700000000000017
2023-01-04 10:00:00,0.7600000000000051,1.5400000000000063
2023-01-04 10:15:00,0.18000000000000682,0.6899999999999977
2023-01-04 10:30:00,0.45000000000000284,0.7650000000000006
2023-01-04 10:45:00,0.03999999999999204,0.37999999999999545
2023-01-04 11:00:00,0.21999999999999886,0.5379000000000076
2023-01-04 11:15:00,0.5400000000000063,0.6099999999999994
2023-01-04 11:30:00,0.5300000000000011,0.5699999999999932
2023-01-04 11:45:00,0.16499999999999204,0.20000000000000284
2023-01-04 12:00:00,0.07099999999999795,0.21999999999999886
2023-01-04 12:15:00,0.13750000000000284,0.29000000000000625
